d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
50000,Toluca de Lerdo Centro,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,160,Urbano,20.0
50010,Celanese,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,163,Urbano,20.0
50010,Club Jardín,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,164,Urbano,20.0
50010,Guadalupe,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,165,Urbano,20.0
50010,La Cruz Comalco,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,166,Urbano,20.0
50010,La Magdalena,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,168,Urbano,20.0
50010,Los Girasoles,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,170,Urbano,20.0
50010,Los Girasoles II,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,171,Urbano,20.0
50010,Los Girasoles III,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,172,Urbano,20.0
50010,Los Girasoles IV,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,173,Urbano,20.0
50010,San Lorenzo Tepaltitlán Centro,Pueblo,Toluca,México,Toluca de Lerdo,50091,15,50091,,28,106,176,Urbano,20.0
50010,Tlacopa,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,177,Urbano,20.0
50010,Universidad,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,178,Urbano,20.0
50010,Las Flores,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,188,Urbano,20.0
50010,San Angelín,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,5121,Urbano,20.0
50010,Galaxias de San Lorenzo,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,5542,Rural,20.0
50010,El Tejocote,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,5545,Rural,20.0
50010,El Balcón,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,5546,Rural,20.0
50010,Los Girasoles I,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,7920,Urbano,20.0
50010,San Juan de la Cruz,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,8291,Urbano,20.0
50010,Hacienda San Agustín,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,8297,Urbano,20.0
50010,La Loma,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,8355,Urbano,20.0
50010,Del Panteón,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,8356,Urbano,20.0
50010,Villas Tepaltitlán,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,8455,Urbano,20.0
50010,Gran Morada,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,9094,Urbano,20.0
50016,Jardines de la Crespa,Unidad habitacional,Toluca,México,Toluca de Lerdo,50091,15,50091,,31,106,180,Urbano,20.0
50016,Parque industrial San Antonio,Zona industrial,Toluca,México,Toluca de Lerdo,50091,15,50091,,37,106,6554,Urbano,20.0
50016,De la Crespa,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,8357,Urbano,20.0
50017,Brisas,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,184,Urbano,20.0
50017,Rincón de San Lorenzo,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,186,Urbano,20.0
50020,Bosques de la Mora,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,191,Urbano,20.0
50020,Los Ángeles,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,193,Urbano,20.0
50020,Los Frailes,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,194,Urbano,20.0
50020,Rancho la Mora,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,195,Urbano,20.0
50020,Rinconada de la Mora,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,197,Urbano,20.0
50020,Santiago Miltepec,Pueblo,Toluca,México,Toluca de Lerdo,50091,15,50091,,28,106,199,Urbano,20.0
50020,3 Caminos,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,201,Urbano,20.0
50020,Valle de Santiago Residencial,Fraccionamiento,Toluca,México,Toluca de Lerdo,50091,15,50091,,21,106,203,Urbano,20.0
50026,Carlos Hank González,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,207,Urbano,20.0
50040,La Retama,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,216,Urbano,20.0
50040,La Teresona,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,217,Urbano,20.0
50040,Unión,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,218,Urbano,20.0
50040,San Luis Obispo,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,219,Urbano,20.0
50040,San Miguel Apinahuizco,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,220,Urbano,20.0
50040,Sector Popular,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,222,Urbano,20.0
50040,Sor Juana Inés de la Cruz,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,223,Urbano,20.0
50040,Electricistas Locales,Colonia,Toluca,México,Toluca de Lerdo,50091,15,50091,,9,106,5700,Urbano,20.0
50050,El Cóporo,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,224,Urbano,20.0
50050,Santa Bárbara,Barrio,Toluca,México,Toluca de Lerdo,50091,15,50091,,2,106,227,Urbano,20.0
