d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
50000,toluca de lerdo centro,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,160,Urbano,20.0
50010,celanese,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,163,Urbano,20.0
50010,club jardin,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,164,Urbano,20.0
50010,guadalupe,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,165,Urbano,20.0
50010,la cruz comalco,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,166,Urbano,20.0
50010,la magdalena,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,168,Urbano,20.0
50010,los girasoles,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,170,Urbano,20.0
50010,los girasoles ii,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,171,Urbano,20.0
50010,los girasoles iii,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,172,Urbano,20.0
50010,los girasoles iv,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,173,Urbano,20.0
50010,san lorenzo tepaltitlan centro,Pueblo,toluca,edomex,Toluca de Lerdo,50091,15,50091,,28,106,176,Urbano,20.0
50010,tlacopa,Barrio,toluca,edomex,Toluca de Lerdo,50091,15,50091,,2,106,177,Urbano,20.0
50010,universidad,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,178,Urbano,20.0
50010,las flores,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,188,Urbano,20.0
50010,san angelin,Barrio,toluca,edomex,Toluca de Lerdo,50091,15,50091,,2,106,5121,Urbano,20.0
50010,galaxias de san lorenzo,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,5542,Rural,20.0
50010,el tejocote,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,5545,Rural,20.0
50010,el balcon,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,5546,Rural,20.0
50010,los girasoles i,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,7920,Urbano,20.0
50010,san juan de la cruz,Barrio,toluca,edomex,Toluca de Lerdo,50091,15,50091,,2,106,8291,Urbano,20.0
50010,hacienda san agustin,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,8297,Urbano,20.0
50010,la loma,Barrio,toluca,edomex,Toluca de Lerdo,50091,15,50091,,2,106,8355,Urbano,20.0
50010,del panteon,Barrio,toluca,edomex,Toluca de Lerdo,50091,15,50091,,2,106,8356,Urbano,20.0
50010,villas tepaltitlan,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,8455,Urbano,20.0
50010,gran morada,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,9094,Urbano,20.0
50016,jardines de la crespa,Unidad habitacional,toluca,edomex,Toluca de Lerdo,50091,15,50091,,31,106,180,Urbano,20.0
50016,parque industrial san antonio,Zona industrial,toluca,edomex,Toluca de Lerdo,50091,15,50091,,37,106,6554,Urbano,20.0
50016,de la crespa,Barrio,toluca,edomex,Toluca de Lerdo,50091,15,50091,,2,106,8357,Urbano,20.0
50017,brisas,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,184,Urbano,20.0
50017,rincon de san lorenzo,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,186,Urbano,20.0
50020,bosques de la mora,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,191,Urbano,20.0
50020,los angeles,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,193,Urbano,20.0
50020,los frailes,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,194,Urbano,20.0
50020,rancho la mora,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,195,Urbano,20.0
50020,rinconada de la mora,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,197,Urbano,20.0
50020,santiago miltepec,Pueblo,toluca,edomex,Toluca de Lerdo,50091,15,50091,,28,106,199,Urbano,20.0
50020,3 caminos,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,201,Urbano,20.0
50020,valle de santiago residencial,Fraccionamiento,toluca,edomex,Toluca de Lerdo,50091,15,50091,,21,106,203,Urbano,20.0
50026,carlos hank gonzalez,Colonia,toluca,edomex,Toluca de Lerdo,50091,15,50091,,9,106,207,Urbano,20.0
