SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
paseos de lago 2,55604,zumpango,edomex,19.79276005,-99.0668912,19.7926994,-99.0674757,55607
la loma (la loma san isidro),56093,tepetlaoxtoc,edomex,19.5883852,-98.8274232,19.5890194,-98.8276618,56075
juan antonio soberanes,56580,ixtapaluca,edomex,19.34637555,-98.84770195,19.3466129,-98.8479916,56588
ampliacion ozumbilla,55766,tecamac,edomex,19.6766546,-98.9950329,19.6766546,-98.9950329,55760
san miguel,55603,zumpango,edomex,19.8036113,-99.0907434,19.8026668,-99.0889046,55600
ampliacion santa maria tulpetl,55418,ecatepec de morelos,edomex,19.5760366,-99.0634052,19.5760366,-99.0634052,55410
el castillo,53650,naucalpan de juarez,edomex,19.438567300000003,-99.30089635,19.4385734,-99.3008601,53658
ampliacion el carmen,55025,ecatepec de morelos,edomex,19.60873,-99.05459,19.60873,-99.05459,55024
san lorenzo (zitlaltepec),55620,zumpango,edomex,19.8166291,-99.15091105,19.8172445,-99.1497664,55628
bonito tultitlan (lote 60),54938,tultitlan,edomex,19.6779099,-99.1019617,19.6779099,-99.1019617,54930
loma se la cruz,54475,nicolas romero,edomex,19.6615949,-99.2832189,19.6615949,-99.2832189,54407
ampliacion guadalupe victoria,55010,ecatepec de morelos,edomex,19.6397412,-99.0601756,19.6398287,-99.0602383,55029
marco antonio sosa,56600,chalco,edomex,19.26921705,-98.93179895,19.2692489,-98.9319311,56614
cofradia 1,54767,cuautitlan izcalli,edomex,19.687905,-99.2343286,19.687905,-99.2343286,54715
ampliacion buenavista 2da. sec,54955,tultitlan,edomex,19.611861150000003,-99.1649026,19.6117861,-99.1649056,54944
pradoixtacala,64160,tlalnepantla de baz,edomex,19.52025045,-99.173169,19.5201785,-99.1729476,54160
ampliacion 19 de septiembre 1a,55074,ecatepec de morelos,edomex,19.6114528,-99.0098762,19.6114528,-99.0098762,55070
profopec iv (poligono iv el ce,55127,ecatepec de morelos,edomex,19.519977,-99.0794602,19.519977,-99.0794602,55340
ampliacion lazaro cardenas,55882,acolman,edomex,19.6064386,-98.980919,19.6064386,-98.980919,55064
la canada,54984,tultepec,edomex,19.70223755,-99.12314455,19.7028294,-99.1241711,54965
ampliacion buenavista,54955,tultitlan,edomex,19.611861150000003,-99.1649026,19.6117861,-99.1649056,54944
jose maria morelos y pavon sag,55115,ecatepec de morelos,edomex,19.5046016,-99.06108265,19.5052927,-99.0607709,55270
santiago atocan,55790,nextlalpan,edomex,19.7378075,-99.0917118,19.7406022,-99.09167,55797
san jose puente grande,54713,cuautitlan izcalli,edomex,19.7248323,-99.1957872,19.7248323,-99.1957872,54834
san martin,56975,atlautla,edomex,19.02672645,-98.783451,19.0266612,-98.7835748,56970
el amanal,56300,atenco,edomex,19.5431553,-98.92776775000002,19.5425238,-98.9259142,56305
ctm el risco,9070,gustavo a madero,edomex,19.5092746,-99.0955998,19.5103835,-99.0972012,7090
san jose de los leones 2a secc,53730,naucalpan de juarez,edomex,19.4459262,-99.2676779,19.4459262,-99.2676779,53760
fraccionamiento zumpango,55605,zumpango,edomex,19.830227,-99.0803475,19.830227,-99.0803475,55614
benito juarez la mesa,55310,ecatepec de morelos,edomex,19.5442,-99.083,19.5442,-99.083,55308
santa maria maquixco,55843,teotihuacan,edomex,19.6826851,-98.8868177,19.6826851,-98.8868177,55840
chivato,53654,naucalpan de juarez,edomex,19.43896435,-99.33666125,19.4394304,-99.3366163,53650
san mateo,55650,tequixquiac,edomex,19.8950145,-99.1447536,19.8941988,-99.1442316,55657
san mateo xoloc,54600,tepotzotlan,edomex,19.7066455,-99.2543833,19.706739,-99.2540741,54602
ejidal santa cruz del monte,54786,teoloyucan,edomex,19.76915715,-99.22839955,19.7688816,-99.2300641,54667
santa teresa 2,54680,huehuetoca,edomex,19.8457016,-99.2335814,19.8457016,-99.2335814,54694
ampliacion san javier,54030,tlalnepantla de baz,edomex,19.5755668,-99.19167905,19.5754538,-99.1915047,54119
san sebastian,4517,teoloyucan,edomex,19.7485555,-99.175823,19.7485555,-99.175823,54783
la unidad huitzizilapan,52059,lerma,edomex,19.42392115,-99.3960741,19.4236692,-99.3957566,53659
fracc los morales,54800,cuautitlan,edomex,19.6869927,-99.2094251,19.6869927,-99.2094251,54715
rosario ii sector i,54090,tlalnepantla de baz,edomex,19.5012334,-99.1761454,19.5012334,-99.1761454,2230
vicente guerrero 1a. seccion,54425,nicolas romero,edomex,19.6159883,-99.3328393,19.6159883,-99.3328393,54435
revolucion,52919,atizapan de zaragoza,edomex,19.5911612,-99.2574251,19.5913448,-99.2574903,52910
los reyes (del pueblo de san a,13610,tlahuac,edomex,19.3064801,-99.0660674,19.3064801,-99.0660674,9930
mexico 86 (la chacona),53428,naucalpan de juarez,edomex,19.4599693,-99.2883986,19.4599693,-99.2883986,53427
acolco,54770,teoloyucan,edomex,19.75064595,-99.18711845,19.7511615,-99.1878286,54786
lazaro cardenas (zona hornos),54916,tultitlan,edomex,19.6404616,-99.16144265,19.6409465,-99.1613431,54900
ex-hacienda jauregui,55020,ecatepec de morelos,edomex,19.6023764,-99.0122123,19.6023764,-99.0122123,55070
ampliacion el tesoro,54957,tultitlan,edomex,19.5897721,-99.1653352,19.5897721,-99.1653352,54769
mexico colonial ii,55180,ecatepec de morelos,edomex,19.5517226,-99.02334535,19.5516325,-99.0232343,55100
santa maria caliacac,54665,teoloyucan,edomex,19.7657046,-99.1777685,19.7701925,-99.176062,54783
providencia,56617,valle de chalco solidaridad,edomex,19.2815512,-98.9182667,19.2835315,-98.9176355,56616
trejo,52770,huixquilucan,edomex,19.362136,-99.345733,19.362136,-99.345733,52760
barrio san isidro,54880,melchor ocampo,edomex,19.70903645,-99.141259,19.7089547,-99.1410783,54882
san francisco,55714,coacalco de berriozabal,edomex,19.63518,-99.10325,19.63518,-99.10325,55700
josefa ortiz de dominguez,55117,ecatepec de morelos,edomex,19.59023515,-99.01859235,19.5902017,-99.01878,55076
libertad 2a seccion,54407,nicolas romero,edomex,19.61107165,-99.31624795,19.6110443,-99.3162534,54425
santiago tepopula,56780,tenango del aire,edomex,19.14480275,-98.85666445,19.1451769,-98.8564574,56785
san isidro (casas verdes),56516,la paz,edomex,19.3474996,-98.9472571,19.3474996,-98.9472571,56370
san rafael chamapa (tabiquera,53660,naucalpan de juarez,edomex,19.3656327,-99.28592154999998,19.3657831,-99.2857066,5200
gertrudis sanchez 2a seccion,7839,gustavo a madero,edomex,19.4437577,-99.100355,19.4437577,-99.100355,15440
fraccionamiento santa elena,54960,cuautitlan,edomex,19.6721604,-99.1481882,19.6721604,-99.1481882,54850
geovillas el nevado,50943,almoloya de juarez,edomex,19.2961156,-99.7863255,19.2961156,-99.7863255,50940
demetrio vallejo ampliacion,52987,atizapan de zaragoza,edomex,19.54342575,-99.2518933,19.5429797,-99.252922,52980
colina verde,53667,naucalpan de juarez,edomex,19.460016600000003,-99.2728414,19.4601167,-99.272873,53425
xochitenco 1a seccion,56360,chimalhuacan,edomex,19.42401535,-98.965935,19.4240134,-98.9659343,56334
minas el coyote,53694,naucalpan de juarez,edomex,19.5019064,-99.2838744,19.5019064,-99.2838744,53219
san pablito calmimilolco,56270,chiconcuac,edomex,19.5656184,-98.905265,19.5655127,-98.9053055,56272
san pablo jolalpan,56090,tepetlaoxtoc,edomex,19.5816843,-98.8546122,19.5816843,-98.8546122,56070
el pocito,56395,chimalhuacan,edomex,19.4409377,-98.969822,19.4409377,-98.969822,56366
misael nunez acosta,5540,ecatepec de morelos,edomex,19.5661619,-99.06147145,19.5662297,-99.0615161,55416
santa teresa 1,54680,huehuetoca,edomex,19.8392245,-99.230441,19.8392245,-99.230441,54694
el molino,56553,ixtapaluca,edomex,19.2987207,-98.9217353,19.2987207,-98.9217353,56577
loma larga (barrio de loma lar,55613,zumpango,edomex,19.7972863,-99.1021819,19.7972863,-99.1021819,55600
la florida (ciudad azteca),55120,ecatepec de morelos,edomex,19.5462196,-99.01717475,19.5468331,-99.0170369,55129
la unidad huitzizizlapan,52059,lerma,edomex,19.42392115,-99.3960741,19.4236692,-99.3957566,53659
libertad 1a. seccion,54407,nicolas romero,edomex,19.59359915,-99.28266215,19.5937506,-99.2829056,54473
ciudad azteca seccion poniente,55126,ecatepec de morelos,edomex,19.5348037,-99.027693,19.5348037,-99.027693,55120
vallejo,7078,gustavo a madero,edomex,19.481184,-99.1489774,19.481184,-99.1489774,2630
nueva santa maria (de san pabl,55747,tecamac,edomex,19.7016767,-98.9675684,19.7026465,-98.9673205,55749
ampliacion tejalpa,56588,ixtapaluca,edomex,19.31052745,-98.9357031,19.3110198,-98.9363296,56550
san miguel xico 3ra sec,56613,valle de chalco solidaridad,edomex,19.2682985,-98.9427087,19.2682985,-98.9427087,56617
prizo ii,55264,ecatepec de morelos,edomex,19.5517226,-99.02334535,19.5516325,-99.0232343,55100
urbi villa del rey,55,huehuetoca,edomex,19.846207,-99.26140114999998,19.8461585,-99.2616947,54693
la esmeralda,55600,zumpango,edomex,19.8119358,-98.9819784,19.8117823,-98.9818179,55630
bosques de tequisistlan,56027,tezoyuca,edomex,19.5987266,-98.9422021,19.5966042,-98.9402176,56020
hacienda las misiones,54687,huehuetoca,edomex,19.8403821,-99.1979154,19.8403821,-99.1979154,54685
el dorado,54980,tultepec,edomex,19.66643715,-99.1394815,19.6662408,-99.1398491,54984
accordia san angel,43800,tizayuca,edomex,19.8580645,-98.9758385,19.8580645,-98.9758385,43802
senor de los milagros,55880,melchor ocampo,edomex,19.7084044,-99.14541255,19.7076665,-99.1449234,54884
independencia 1a. seccion,54409,nicolas romero,edomex,19.59359915,-99.28266215,19.5937506,-99.2829056,54473
arturo montiel,56353,chimalhuacan,edomex,19.4094606,-98.94067884999998,19.4094532,-98.9406696,56335
palomar maquixco,55845,teotihuacan,edomex,19.6844401,-98.8966474,19.6844401,-98.8966474,55840
unidad ejercito constitucional,9220,iztapalapa,edomex,19.0096883,-99.9423072,19.0096883,-99.9423072,51346
el gallito,55530,ecatepec de morelos,edomex,19.548011,-99.0676243,19.548011,-99.0676243,55540
cofradia iv,54715,cuautitlan izcalli,edomex,19.6858537,-99.2248916,19.6858537,-99.2248916,54760
miraflores,54490,isidro fabela,edomex,19.6003804,-99.2520334,19.6001246,-99.2518829,52918
los heroes ecatepec seccion iv,55023,ecatepec de morelos,edomex,19.5561533,-99.03719855,19.5561434,-99.037169,55100
santa maria tulpetlac,55404,ecatepec de morelos,edomex,19.577533,-99.0409351,19.577533,-99.0409351,55060
cofradia ii,54710,cuautitlan izcalli,edomex,19.6860694,-99.228218,19.6860694,-99.228218,54715
san miguel oxtotilpan,51320,temascaltepec,edomex,19.14385925,-99.89337095,19.1491666,-99.8858334,51324
barrio encido,54570,jilotzingo,edomex,19.495888,-99.3677172,19.495888,-99.3677172,54574
la pastoria,56300,atenco,edomex,19.54187285,-98.90599955,19.5418818,-98.907215,56304
alborada,6500,cuautitlan izcalli,edomex,19.60397795,-99.16870875,19.6040026,-99.1689239,54943
santa maria acolman,55878,acolman,edomex,19.63922425,-98.9074436,19.6420614,-98.9107373,55870
fraccionamiento rosas de san f,56580,ixtapaluca,edomex,19.34684805,-98.8535059,19.3430635,-98.8570661,56588
espiritu santo,54570,jilotzingo,edomex,19.5332705,-99.377325,19.5336541,-99.3763275,54576
santa barbara,64660,coyotepec,edomex,19.79291,-99.19346795,19.7943257,-99.1940586,54665
ixquitlan,56035,chiautla,edomex,19.5746232,-98.8799079,19.5746232,-98.8799079,56034
santa martha,57920,nezahualcoyotl,edomex,19.36950695,-98.98652145,19.3694827,-98.9864572,57840
alfredo del mazo,55117,ecatepec de morelos,edomex,19.5485426,-99.02705305,19.5485808,-99.0270405,55100
ampliacion emiliano zapata,56558,ixtapaluca,edomex,19.31052745,-98.9357031,19.3110198,-98.9363296,56550
enthavi 2da. seccion,50850,temoaya,edomex,19.4801147,-99.584266,19.4801147,-99.584266,50866
fuentes de aragon,55210,ecatepec de morelos,edomex,19.516921,-99.03088875,19.5166635,-99.0308525,55248
rosario ii sector iii,54090,tlalnepantla de baz,edomex,19.5721894,-99.1943615,19.5722574,-99.1943495,54119
xochitenco 2a seccion,56360,chimalhuacan,edomex,19.42482105,-98.96610585,19.4248194,-98.9661063,56334
barrio ixtapalcalco,54660,coyotepec,edomex,19.77105295,-99.19855845,19.7707119,-99.1982476,54666
san andres metla,56680,cocotitlan,edomex,19.21654345,-98.84005475,19.2172222,-98.8416666,56683
puente grande,64680,huehuetoca,edomex,19.8272132,-99.2033637,19.8272132,-99.2033637,54684
jardines de los claustros v,54930,tultitlan,edomex,19.6748757,-99.0869024,19.6748757,-99.0869024,54935
corte la palma segunda seccion,56337,chimalhuacan,edomex,19.3857538,-98.9163701,19.3857538,-98.9163701,56338
fray servando teresa de mier,56225,texcoco,edomex,19.4800641,-98.8921152,19.4800641,-98.8921152,56260
