SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
ampliacion  general jose vicen,57710,nezahualcoyotl,edomex,19.38436565,-99.0095467,19.3835914,-99.0101299,57710
santa catarina,56030,chiautla,edomex,19.5495804,-98.88019905,19.5490592,-98.8831506,56030
nueva san antonio,56605,chalco,edomex,19.2777865,-98.8929801,19.2788502,-98.8928048,56605
hueypoxtla,55670,hueypoxtla,edomex,19.91003475,-99.0769134,19.9109342,-99.0759074,55670
san pedro atzompa,55770,tecamac,cdmx,19.6842854,-99.02067055,19.6829744,-99.0153319,55770
santa ana tlachiahualpa,55994,temascalapa,edomex,19.769429,-98.90932125,19.7647447,-98.9099419,55994
jardines de los claustros iii,54920,tultitlan,edomex,19.6726313,-99.0733202,19.6726313,-99.0733202,54920
santiaguito,56217,texcoco,edomex,19.52676215,-98.86992755,19.5276901,-98.867982,56217
cuajimalpa,5000,cuajimalpa de morelos,edomex,19.3594354,-99.29561205,19.3557507,-99.2993504,5000
reyes,54665,coyotepec,edomex,19.7792152,-99.198925,19.7792991,-99.1995969,54665
tepeixco,73312,zacatlan,cdmx,20.027107,-97.95899355,20.0282085,-97.9579242,73312
ixtapacalco,54666,coyotepec,edomex,19.76336685,-99.1984631,19.7675068,-99.1995969,54666
villa de las flores 1a seccion,55710,coacalco de berriozabal,edomex,19.6474651,-99.09513895,19.6444313,-99.098584,55710
papalotla,56050,papalotla,edomex,19.5636878,-98.85791965,19.5639366,-98.8579862,56050
texcoco de mora centro,56100,texcoco,edomex,19.5118063,-98.8815834,19.5118063,-98.8815834,56100
san pablo atlazalpan,56620,chalco,edomex,19.21437365,-98.908653,19.2143287,-98.9109211,56620
santa maria,56270,chiconcuac,cdmx,19.5637559,-98.89617095,19.5646651,-98.8955634,56270
los heroes tecamac ii,55764,tecamac,edomex,19.63306455,-99.02821895,19.6362098,-99.0380623,55764
santa cruz,54783,teoloyucan,edomex,19.7586911,-99.15749,19.7578494,-99.1580693,54783
santa maria mazatla,54570,jilotzingo,edomex,19.5428516,-99.40450155,19.5403441,-99.4033907,54570
lomas de tultepec,54970,tultepec,edomex,19.69849845,-99.1132808,19.6985847,-99.1134512,54970
el tenayo centro,54140,tlalnepantla de baz,cdmx,19.5435986,-99.16560125,19.5451936,-99.16637310000002,54140
santa maria,55880,acolman,edomex,19.6594031,-98.9016863,19.659035,-98.8955634,55880
san jose la loma,55620,zumpango,edomex,19.81048895,-99.1642702,19.8120391,-99.1649891,55620
santo tomas apipilhuasco,56080,tepetlaoxtoc,edomex,19.5427022,-98.74465365,19.5429453,-98.7484755,56080
dr. jorge jimenez cantu,54190,tlalnepantla de baz,cdmx,19.536974,-99.0934502,19.5385926,-99.0930528,54190
ozumba de alzate,56800,ozumba,edomex,19.0396262,-98.79546525,19.0391002,-98.7950015,56800
19 de septiembre,55070,ecatepec de morelos,cdmx,19.6111872,-99.00965515,19.6112428,-99.0097091,55070
nueva idependencia,55603,zumpango,cdmx,19.76136995,-99.0735479,19.7634908,-99.0764613,55603
lomas de la era,1860,alvaro obregon,cdmx,19.3220122,-99.2618773,19.3185335,-99.264007,1860
santa barbara,54713,cuautitlan izcalli,edomex,19.71721915,-99.18516,19.7156221,-99.18304,54713
heroes de padierna,14200,tlalpan,cdmx,19.28528385,-99.2198642,19.2863543,-99.2162139,14200
san pablo de las salinas,54930,tultitlan,edomex,19.6707724,-99.09140785,19.6682966,-99.0930528,54930
olivar santa maria,13546,tlahuac,cdmx,19.24307175,-99.0107181,19.2415397,-99.0091125,13546
atlampa,6450,cuauhtemoc,cdmx,19.45906015,-99.1554414,19.457351,-99.15530160000002,6450
morelos,6200,cuauhtemoc,cdmx,19.4473413,-99.13098625,19.4468231,-99.1303962,6200
misiones teoloyucan,54770,teoloyucan,edomex,19.7429639,-99.1873592,19.7426681,-99.1881747,54770
santa teresa ix,54694,huehuetoca,edomex,19.8658207,-99.2234851,19.8658207,-99.2234851,54694
san marcos nepantla,55887,acolman,edomex,19.66635755,-98.93236615,19.6680587,-98.9334124,55887
santa teresa 1,54694,huehuetoca,edomex,19.8392245,-99.230441,19.8392245,-99.230441,54694
santa maria caliacac,54783,teoloyucan,edomex,19.7657046,-99.1777685,19.7701925,-99.176062,54783
san pedro atlapulco,52754,ocoyoacac,cdmx,19.2446459,-99.39210495,19.2424436,-99.3947841,52754
galaxia huehuetoca,54685,huehuetoca,edomex,19.8378162,-99.20995825,19.8369903,-99.2099821,54685
ocotenco,52660,tianguistenco,cdmx,19.1364705,-99.4318827,19.134008,-99.4325457,52660
san juan evangelista,55816,teotihuacan,cdmx,19.6856825,-98.8783804,19.6856825,-98.8783804,55816
san rafael,56740,tlalmanalco,edomex,19.20184075,-98.7597939,19.2070756,-98.7618849,56740
el dorado,54696,huehuetoca,edomex,19.8842293,-99.19797255,19.8824926,-99.1995969,54696
ampliacion san marcos norte,16038,xochimilco,cdmx,19.26971785,-99.1138715,19.270886,-99.113797,16038
san sebastian xolalpa,55824,teotihuacan,edomex,19.67901785,-98.84032495,19.6762379,-98.845924,55824
santa maria tonanitla,55785,tonanitla,edomex,19.68685745,-99.05160195,19.6879468,-99.0543447,55785
tepetlaoxtoc de hidalgo,56070,tepetlaoxtoc,edomex,19.5738576,-98.81850555,19.5759021,-98.8169822,56070
santiago,54667,coyotepec,edomex,19.7752317,-99.2234173,19.7794142,-99.2259088,54667
loma bonita,55738,coacalco de berriozabal,edomex,19.62204535,-99.0976287,19.6230936,-99.0978926,55738
guadalupe chalma,7210,gustavo a madero,cdmx,19.55227095,-99.15216565,19.5531946,-99.1539178,7210
sergio mendez arceo,55020,ecatepec de morelos,edomex,19.6092683,-99.04415455,19.6092155,-99.0443251,55020
ampliacion nativitas la joya,16459,xochimilco,cdmx,19.2314838,-99.08883534999998,19.2373442,-99.0923614,16459
nueva atzacoalco,7420,gustavo a madero,cdmx,19.498668350000003,-99.0850762,19.4991516,-99.0861392,7420
san jose de los leones segunda,53760,naucalpan de juarez,edomex,19.4458166,-99.26788274999998,19.4458862,-99.2677432,53760
agua azul grupo a super 4,57500,nezahualcoyotl,cdmx,19.4152817,-99.03949935,19.4152183,-99.0393345,57500
jacarandas,54050,tlalnepantla de baz,edomex,19.5352506,-99.2344144,19.5352506,-99.2344144,54050
constituyentes,76147,queretaro,cdmx,20.6236826,-100.39213485,20.6237078,-100.3912012,76147
de salvador atenco,56300,atenco,edomex,19.5555371,-98.915581,19.5561338,-98.9190152,56300
melchor ocampo centro,54880,melchor ocampo,edomex,19.70165735,-99.150161,19.7008566,-99.1483827,54880
soledad del coyol,42294,chapulhuacan,cdmx,21.075085,-98.95353345,21.075343,-98.9528258,42294
el chamizal,55270,ecatepec de morelos,cdmx,19.5000207,-99.0594014,19.5005408,-99.0584911,55270
anzures,11590,miguel hidalgo,edomex,19.43049815,-99.17786785,19.4326577,-99.1774462,11590
desarrollo urbano quetzalcoatl,9700,iztapalapa,cdmx,19.33097405,-99.03755005,19.3246891,-99.0391431,9700
la malinche,10010,la magdalena contreras,cdmx,19.3239831,-99.24281205,19.3240788,-99.2418386,10010
infonavit iztacalco,8900,iztacalco,cdmx,19.38427285,-99.1062372,19.3832516,-99.1054986,8900
sideral,9320,iztapalapa,cdmx,19.373760150000003,-99.06559185,19.3738236,-99.0657478,9320
anahuac ii seccion,11320,miguel hidalgo,cdmx,19.4415198,-99.1755124,19.4415198,-99.1755124,11320
aldana,2910,azcapotzalco,cdmx,19.4706178,-99.14987575,19.4701894,-99.1490745,2910
