SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
torres de potrero,1840,alvaro obregon,cdmx,19.33192245,-99.24877525,19.3319317,-99.2466874,
los olivos,56343,chimalhuacan,edomex,19.3948701,-98.9766636,19.3952321,-98.9759496,
ampliacion ciudad lago,57185,nezahualcoyotl,cdmx,19.4632667,-99.04039625,19.4638959,-99.039834,
tizapan,1090,alvaro obregon,cdmx,19.34048465,-99.197676,19.3395802,-99.19752,
santa teresa 1,54694,huehuetoca,cdmx,19.3907336,-99.14361265,19.4326077,-99.133208,
el rodeo,9860,iztapalapa,cdmx,19.33345715,-99.0723893,19.3340523,-99.0730051,
san mateo cuautepec,54948,tultitlan,edomex,19.62454545,-99.1443722,19.6230919,-99.1414643,
ampliacion san miguel,9360,iztapalapa,cdmx,19.3525531,-99.06782185,19.3523921,-99.0671301,
san rafael chamapa ii,53664,naucalpan de juarez,edomex,19.457758400000003,-99.2568824,19.457712,-99.2567323,
molino de santo domingo,1130,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
monton cuarteles,52779,huixquilucan,edomex,19.410909,-99.2782595,19.4120754,-99.2778653,
mexico 86,53650,naucalpan de juarez,edomex,19.45692105,-99.2884377,19.4564635,-99.2882606,
lazaro cardenas,54870,cuautitlan,edomex,19.6752387,-99.17186525,19.6745962,-99.1719095,
carlos hank gonzalez,55520,ecatepec de morelos,edomex,19.54045545,-99.0822938,19.5403777,-99.0823119,
san fernando,52765,huixquilucan,cdmx,19.3776632,-99.28547775,19.3777292,-99.2854332,
san juan tlalpizahuac,56576,ixtapaluca,edomex,19.3235457,-98.9521155,19.3237995,-98.9528258,
el vergel,9880,iztapalapa,cdmx,19.31752135,-99.0802977,19.3174341,-99.0813001,
universidad autonoma metropoli,52919,atizapan de zaragoza,edomex,19.60483315,-99.25047995,19.6050024,-99.250151,
jalalpa el grande,1377,alvaro obregon,cdmx,19.37158305,-99.24016335,19.3708894,-99.2407996,
el molinito,53530,naucalpan de juarez,cdmx,19.4573707,-99.2369427,19.4579914,-99.2368196,
ciudad campestre,54435,nicolas romero,edomex,19.6112235,-99.34494205,19.611838,-99.3458054,
san antonio zomeyucan,53370,naucalpan de juarez,edomex,19.4550192,-99.24366265,19.4550179,-99.2446093,
san lorenzo totolinga,53426,naucalpan de juarez,edomex,19.46154025,-99.2638301,19.4606891,-99.2633141,
san lorenzo parte alta,56340,chimalhuacan,edomex,19.40500435,-98.96645245,19.4041667,-98.9666302,
santa cruz meyehualco,9700,iztapalapa,cdmx,19.3396262,-99.04304805,19.3392843,-99.0419068,
ampliacion llano de los baez s,55055,ecatepec de morelos,edomex,19.60608985,-99.0115124,19.6066447,-99.0164483,
isidro fabela,55743,tecamac,edomex,19.7190493,-98.96403145,19.7183026,-98.9638691,
san juan tepeximilpa,14427,tlalpan,cdmx,19.27135055,-99.19056595,19.2710638,-99.1909436,
culhuacan ctm croc,4480,coyoacan,cdmx,19.3255941,-99.12099015,19.3275633,-99.1217504,
lomas de la canada,53570,naucalpan de juarez,edomex,19.45014505,-99.23992585,19.4520044,-99.2387216,
tecaxtitla (san antonio tecomi,12100,milpa alta,cdmx,19.22467775,-98.99721015,19.2243898,-98.9970085,
miguel hidalgo 2a seccion,14250,tlalpan,cdmx,19.2820949,-99.1963643,19.2814434,-99.1968277,
san agustin,13630,tlahuac,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
valle dorado,53690,naucalpan de juarez,edomex,19.4479087,-99.2669281,19.4479916,-99.2667784,
ampliacion la conchita,13360,tlahuac,cdmx,19.2380621,-99.0009998,19.2378285,-99.0008066,
san juan tepeximilpa,14427,tlalpan,edomex,19.27135055,-99.19056595,19.2710638,-99.1909436,
ex-hacienda coapa,4980,coyoacan,cdmx,19.31045165,-99.13704345,19.3108788,-99.1386972,
ejidos de santa maria aztahuac,9500,iztapalapa,cdmx,19.30878135,-99.0683396,19.3086409,-99.0702915,
adolfo lopez mateos,52910,atizapan de zaragoza,edomex,19.58768005,-99.2648809,19.5876954,-99.2643534,
benito juarez centro,54068,tlalnepantla de baz,edomex,19.52163605,-99.17597545,19.5216198,-99.1761315,
morelos,6200,cuauhtemoc,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
el chaparral ampliacion,52990,atizapan de zaragoza,cdmx,19.53945575,-99.2452669,19.5391441,-99.2451288,
la martinica,1619,alvaro obregon,cdmx,19.35894605,-99.22528965,19.3587951,-99.2252163,
lazaro cardenas,54189,tlalnepantla de baz,cdmx,19.52211815,-99.1301369,19.5234533,-99.128226,
belem de las flores,1110,alvaro obregon,cdmx,19.35564185,-99.2346525,19.3556174,-99.2346527,
las aguilas 1a seccion,1750,alvaro obregon,cdmx,19.3555351,-99.2169065,19.3548789,-99.2165176,
san felipe de jesus,7510,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san pedro,9000,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
zapotitla,13310,tlahuac,cdmx,19.3068385,-99.04123615,19.306715,-99.0413886,
el rosario,2100,azcapotzalco,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san lorenzo tezonco,9790,iztapalapa,cdmx,19.3112134,-99.0678016,19.3122309,-99.0674757,
olimpica radio 1a seccion (san,53698,naucalpan de juarez,edomex,19.44573855,-99.2898472,19.4464327,-99.2899933,
olivar del conde 1ra seccion,1400,alvaro obregon,cdmx,19.37463915,-99.2076747,19.3752791,-99.2051355,
valle san pedro urbi villa del,55767,tecamac,cdmx,19.71145065,-98.98920025,19.7122732,-98.9683073,
8 de agosto,1180,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
viento nuevo,55074,ecatepec de morelos,cdmx,19.60890425,-99.00412305,19.6086647,-99.0039142,
ex-hacienda de santa monica,54050,tlalnepantla de baz,edomex,19.527989150000003,-99.2327315,19.5281901,-99.2324881,
tequexquinahuac parte alta,54020,tlalnepantla de baz,edomex,19.56112575,-99.2087872,19.5614582,-99.2085974,
san pablo xalpa,2110,azcapotzalco,cdmx,19.50218025,-99.18367545,19.5021732,-99.1835341,
centro,54960,tultepec,edomex,19.6854964,-99.12879715,19.6852801,-99.128667,
miguel hidalgo,14260,tlalpan,cdmx,19.287350250000003,-99.1614428,19.2873305,-99.161003,
la lupita,13510,tlahuac,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
egidos de san agustin,57850,nezahualcoyotl,edomex,19.38370695,-98.97979095,19.3838285,-98.9756044,
maria g. de garcia ruiz,1160,alvaro obregon,cdmx,19.38771405,-99.2123837,19.3874121,-99.2127518,
atras del tequiquil,54180,tlalnepantla de baz,cdmx,19.51086115,-99.10539645,19.5110877,-99.1051529,
lomas de san lorenzo,9780,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
faja de oro,55490,ecatepec de morelos,edomex,19.53085765,-99.04940165,19.5307477,-99.0494211,
cuautepec barrio alto,7100,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
rincon de la bolsa,1840,alvaro obregon,cdmx,19.3318721,-99.2522896,19.3320003,-99.2525756,
portezuelos,56335,chimalhuacan,cdmx,19.39177635,-98.9377561,19.3910505,-98.9385463,
isidro fabela,54110,tlalnepantla de baz,edomex,19.5816516,-99.19289135,19.5817783,-99.1930203,
el almarcigo sur,55415,ecatepec de morelos,cdmx,19.5747866,-99.06934965,19.574447,-99.068858,
bulevares del lago,54473,nicolas romero,edomex,19.60012525,-99.2727811,19.598982,-99.274054,
lomas de tepalcapa ampliacion,52928,atizapan de zaragoza,edomex,19.58923395,-99.2419032,19.5891511,-99.2432239,
insurgentes,9750,iztapalapa,cdmx,19.3309619,-99.05373045,19.3305971,-99.0536536,
caja de agua,54460,nicolas romero,edomex,19.6436366,-99.36489955,19.6426785,-99.3633143,
movimiento organizado,14620,tlalpan,cdmx,19.2667955,-99.15318115,19.2668955,-99.1522059,
san isidro atlautenco,50070,ecatepec de morelos,cdmx,19.62062325,-98.98765685,19.6191114,-98.9866509,
jose maria pino suarez,1140,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
guadalupe insurgentes,7870,gustavo a madero,cdmx,19.4757767,-99.1324027,19.4739758,-99.1324714,
golondrinas 2a seccion,1270,alvaro obregon,cdmx,19.45736305,-99.26307595,19.4574353,-99.2631203,
san isidro,54882,melchor ocampo,edomex,19.7058477,-99.13698205,19.7057735,-99.1386972,
albarrada,9249,iztapalapa,cdmx,19.35909735,-99.0685124,19.3588785,-99.0683951,
jose lopez portillo,9920,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
alfredo del mazo,55118,ecatepec de morelos,cdmx,19.5650261,-99.0183579,19.5645212,-99.0170369,
monton cuarteles,52779,huixquilucan,cdmx,19.410909,-99.2782595,19.4120754,-99.2778653,
olivar del conde 1a seccion,1400,alvaro obregon,cdmx,19.37463915,-99.2076747,19.3752791,-99.2051355,
ampliacion san pablo de las sa,54938,tultitlan,cdmx,19.64570175,-99.16252585,19.6392125,-99.1668646,
villas de san jose,54910,tultitlan,edomex,19.63399855,-99.130753,19.6336074,-99.131108,
mexico tacuba,11239,miguel hidalgo,cdmx,19.4514051,-99.19129395,19.4595282,-99.1899433,
lomas de sotelo,11200,miguel hidalgo,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
lomas de tenapalco,54893,melchor ocampo,edomex,19.7042796,-99.1113596,19.7019444,-99.1108333,
san jose rio hondo (rio hondo),53810,naucalpan de juarez,cdmx,19.436232749999995,-99.25075505,19.4362374,-99.2506141,
fuego nuevo,9800,iztapalapa,cdmx,19.33194535,-99.09981,19.3327398,-99.0992755,
piedad narvarte,3000,benito juarez,cdmx,19.4026247,-99.15601085,19.403193,-99.1556476,
arenal 4a seccion,15640,venustiano carranza,cdmx,19.43171425,-99.05759745,19.4315974,-99.0595277,
los angeles,9830,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
valle dorado (san rafael chama,53690,naucalpan de juarez,edomex,19.457758400000003,-99.2568824,19.457712,-99.2567323,
el mirador,9800,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
ampliacion jalalpa,1296,alvaro obregon,cdmx,19.3766717,-99.23344939999998,19.3771683,-99.2331807,
lomas de san sebastian,56512,la paz,cdmx,19.3820638,-98.9335294,19.3822212,-98.9335037,
luisa isabel campos de jimenez,53663,naucalpan de juarez,edomex,19.2525128,-99.633745,19.2526546,-99.6330911,
san miguel hila,54424,nicolas romero,cdmx,19.59515295,-99.3252767,19.5936111,-99.3252777,
uam,52919,atizapan de zaragoza,edomex,19.60483315,-99.25047995,19.6050024,-99.250151,
geovillas ixtapaluca 2000,56530,ixtapaluca,edomex,19.31767685,-98.8962591,19.3177697,-98.8963379,
nueva industrial vallejo,7700,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
santa cruz (villa milpa alta),12000,milpa alta,cdmx,19.19917075,-99.0155883,19.1990995,-99.0170369,
sierra hermosa,55749,tecamac,edomex,19.691787750000003,-99.0006589,19.6894655,-98.9949368,
santiaguito,54900,tultitlan,edomex,19.6512837,-99.16169545,19.6514393,-99.1636051,
ampliacion martires de rio bla,7859,gustavo a madero,cdmx,19.571732150000003,-99.1314068,19.5717388,-99.131428,
forestal ii,7144,gustavo a madero,cdmx,19.5685448,-99.1265933,19.5682129,-99.1265919,
adolfo ruiz cortines,55050,ecatepec de morelos,edomex,19.60130125,-99.0312413,19.6013822,-99.0315434,
el paraiso,9208,iztapalapa,cdmx,19.3767288,-99.03123795,19.3781412,-99.0308525,
el callejon,55418,ecatepec de morelos,edomex,19.56340585,-99.0553239,19.5637026,-99.0553812,
san pedro,56334,chimalhuacan,cdmx,19.42411845,-98.9462856,19.4235095,-98.9479948,
leyes de reforma 1a seccion,9310,iztapalapa,cdmx,19.35987015,-99.070914,19.3613411,-99.0723139,
san bartolome xicomulco,12250,milpa alta,cdmx,19.20743265,-99.06882065,19.2053404,-99.0695492,
