SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
torres de potrero,1840,alvaro obregon,cdmx,19.33192245,-99.24877525,19.3319317,-99.2466874,
paseos del sur,16010,xochimilco,cdmx,19.273932549999998,-99.12280965,19.274504,-99.12244199999999,16010
san juan (san pablo oztotepec),12400,milpa alta,cdmx,19.18388465,-99.06397485,19.1861266,-99.0709315,12400
san miguel topilejo,14500,tlalpan,cdmx,19.200159749999997,-99.14752684999999,19.1943285,-99.14284789999999,14500
barrio san cristobal,16080,xochimilco,cdmx,19.2579958,-99.09717325,19.2591609,-99.0978926,16080
roma norte,6700,cuauhtemoc,cdmx,19.41815295,-99.16518185,19.4173639,-99.1594532,06700
desarrollo urbano quetzalcoatl,9700,iztapalapa,cdmx,19.330974050000002,-99.03755005,19.3246891,-99.03914309999999,09700
unidad habitacional tepalcapa,54743,cuautitlan izcalli,cdmx,19.6240188,-99.20120329999999,19.6240188,-99.20120329999999,54743
ejidal santa cruz del monte,54786,teoloyucan,edomex,19.769157149999998,-99.22839954999999,19.7688816,-99.23006409999999,54667
el tanque,10320,la magdalena contreras,cdmx,19.3249654,-99.25097099999999,19.3251993,-99.24876549999999,10320
la blanca,54110,tlalnepantla de baz,edomex,19.5665836,-99.19328695,19.5688538,-99.1915966,54110
jardines del tepeyac,55220,ecatepec de morelos,edomex,19.512900899999998,-99.048942,19.5099377,-99.0474345,55220
ampliacion san marcos norte,16038,xochimilco,cdmx,19.26971785,-99.11387149999999,19.270886,-99.11379699999999,16038
iztlahuacan,9690,iztapalapa,cdmx,19.344059350000002,-98.999153,19.3451265,-98.99838960000001,09690
2a cerrada de alcatraz,7119,tlalnepantla de baz,edomex,19.5253578,-99.2147047,19.5253578,-99.2147047,54070
los cuartos ii,53670,naucalpan de juarez,edomex,19.451587449999998,-99.2821735,19.4502269,-99.2806373,53670
las cruces,10330,la magdalena contreras,cdmx,19.32118055,-99.2530361,19.3189566,-99.2556931,10330
doctores,6720,cuauhtemoc,cdmx,19.4169238,-99.14864005,19.4179232,-99.1483827,06720
gabriel hernandez,7080,gustavo a madero,cdmx,19.499164899999997,-99.0995249,19.4992269,-99.09927549999999,07080
compositores mexicanos,7130,gustavo a madero,cdmx,19.56480425,-99.1397398,19.5670899,-99.1414643,07130
